epsilon,certificate,pgd,aa,lirpa_alphacrown,lirpa_betacrown,sdp,time_cra,time_pgd,time_aa,time_lirpa_alpha,time_lirpa_beta,time_sdp
0.0005,91.7910447761194,100.0,95.52238805970148,63.5,94.77611940298507,0,0.0,0.0,0.076,5.382,0.954,0
0.000632,91.04477611940298,100.0,94.77611940298507,62.5,94.77611940298507,0,0.0,0.0,0.073,5.536,0.628,0
0.000763,90.29850746268657,100.0,93.28358208955224,62.5,93.28358208955224,0,0.0,0.0,0.074,5.673,0.338,0
0.000895,86.56716417910447,100.0,93.28358208955224,61.0,93.28358208955224,0,0.0,0.0,0.076,5.768,0.611,0
0.001026,83.5820895522388,100.0,91.7910447761194,60.5,91.04477611940298,0,0.0,0.0,0.074,5.937,1.127,0
0.001158,79.8507462686567,100.0,91.04477611940298,59.0,90.29850746268657,0,0.0,0.0,0.074,6.088,1.104,0
0.001289,77.61194029850746,100.0,91.04477611940298,56.49999999999999,88.80597014925374,0,0.0,0.0,0.074,6.167,2.438,0
0.001421,74.6268656716418,100.0,91.04477611940298,53.5,87.31343283582089,0,0.0,0.0,0.072,6.26,3.886,0
0.001553,72.38805970149254,99.25373134328358,90.29850746268657,51.5,84.32835820895522,0,0.0,0.0,0.072,6.309,6.096,0
0.001684,70.8955223880597,100.0,88.05970149253731,49.5,81.34328358208955,0,0.0,0.0,0.076,6.451,6.527,0
0.001816,67.16417910447761,100.0,86.56716417910447,47.5,79.1044776119403,0,0.0,0.0,0.074,6.532,7.171,0
0.001947,61.940298507462686,99.25373134328358,86.56716417910447,44.0,76.86567164179104,0,0.0,0.0,0.074,6.597,8.572,0
0.002079,60.447761194029844,100.0,85.07462686567165,41.5,73.88059701492537,0,0.0,0.0,0.075,6.642,10.568,0
0.002211,58.95522388059702,99.25373134328358,83.5820895522388,37.5,71.64179104477611,0,0.0,0.0,0.075,6.742,11.928,0
0.002342,56.71641791044776,100.0,82.83582089552239,35.5,68.65671641791045,0,0.0,0.0,0.072,6.742,13.774,0
0.002474,55.970149253731336,99.25373134328358,79.8507462686567,32.5,65.67164179104478,0,0.0,0.0,0.075,6.884,14.101,0
0.002605,55.223880597014926,99.25373134328358,78.35820895522389,30.5,61.19402985074627,0,0.0,0.0,0.074,6.893,15.27,0
0.002737,54.47761194029851,100.0,77.61194029850746,28.000000000000004,59.70149253731343,0,0.0,0.0,0.075,6.924,17.989,0
0.002868,52.23880597014925,99.25373134328358,76.86567164179104,27.0,55.223880597014926,0,0.0,0.0,0.073,6.991,20.086,0
0.003,48.507462686567166,100.0,74.6268656716418,26.0,50.74626865671642,0,0.0,0.0,0.072,7.0,20.917,0
0.003,48.507462686567166,100.0,74.6268656716418,26.0,50.74626865671642,0,0.0,0.0,0.075,7.081,20.94,0
0.003256,43.28358208955223,100.0,73.13432835820896,20.0,48.507462686567166,0,0.0,0.0,0.072,7.094,22.207,0
0.003513,41.04477611940299,100.0,72.38805970149254,16.0,45.52238805970149,0,0.0,0.0,0.073,7.227,24.977,0
0.003769,38.80597014925373,100.0,70.1492537313433,14.000000000000002,41.04477611940299,0,0.0,0.0,0.072,7.272,24.898,0
0.004026,35.07462686567165,100.0,66.4179104477612,10.0,38.80597014925373,0,0.0,0.0,0.072,7.359,24.889,0
0.004282,32.08955223880597,99.25373134328358,61.940298507462686,6.0,34.32835820895522,0,0.0,0.0,0.073,7.395,26.306,0
0.004538,29.1044776119403,100.0,60.447761194029844,3.5000000000000004,29.1044776119403,0,0.0,0.0,0.074,7.458,28.828,0
0.004795,28.35820895522388,100.0,60.447761194029844,3.5000000000000004,26.865671641791046,0,0.0,0.0,0.072,7.488,30.673,0
0.005051,27.611940298507463,99.25373134328358,58.95522388059702,2.0,23.134328358208954,0,0.0,0.0,0.075,7.486,31.997,0
0.005308,26.119402985074625,99.25373134328358,57.46268656716418,2.0,20.149253731343283,0,0.0,0.0,0.073,7.508,33.991,0
0.005564,23.88059701492537,99.25373134328358,55.970149253731336,2.0,17.91044776119403,0,0.0,0.0,0.075,7.52,34.747,0
0.005821,20.8955223880597,99.25373134328358,55.223880597014926,1.0,12.686567164179104,0,0.0,0.0,0.074,7.569,35.86,0
